iter	MultiClass
0	1.67838515
1	1.504348733
2	1.378125306
3	1.283227
4	1.204087365
5	1.13950561
6	1.0845021
7	1.038292929
8	0.9974948641
9	0.9611075315
10	0.9284836076
11	0.9011517355
12	0.8752186295
13	0.8525268418
14	0.8321991367
15	0.8158778203
16	0.7977859833
17	0.7822842336
18	0.7678659181
19	0.7571503407
20	0.7469345917
21	0.7360705388
22	0.7266057197
23	0.717555262
24	0.7106465463
25	0.704961388
26	0.698006249
27	0.6924153748
28	0.6851277489
29	0.6805190562
30	0.6747316433
31	0.6705794134
32	0.6660116746
33	0.6612222876
34	0.6577109177
35	0.6535063844
36	0.6493464943
37	0.6455653407
38	0.6424621032
39	0.6387187852
40	0.635838937
41	0.6328886913
42	0.6298374302
43	0.6274162399
44	0.625500277
45	0.6237859634
46	0.6212862763
47	0.6184912427
48	0.6167391301
49	0.6152365359
50	0.6134561613
51	0.6117949755
52	0.6086774803
53	0.6070930538
54	0.6047932114
55	0.6026622003
56	0.6008373954
57	0.5989171728
58	0.5966811459
59	0.5955425301
60	0.5940984451
61	0.5924119219
62	0.5909571554
63	0.5887431573
64	0.5869526558
65	0.5853782488
66	0.5842718581
67	0.5832877562
68	0.5817836448
69	0.5802070855
70	0.5789373971
71	0.5773162834
72	0.5763914357
73	0.5748189004
74	0.5738995301
75	0.5725442023
76	0.5714001513
77	0.5702778977
78	0.5688153606
79	0.5676741153
80	0.5661903602
81	0.5642883857
82	0.563516007
83	0.5624794347
84	0.5616275813
85	0.560456028
86	0.5593815646
87	0.5577773321
88	0.5563282013
89	0.5550034784
90	0.5536293081
91	0.5521769312
92	0.5509559824
93	0.5498005871
94	0.5483601871
95	0.5467960471
96	0.5454673474
97	0.5442573104
98	0.5434778481
99	0.5425811099
