iter	Passed	Remaining
0	8	8363
1	16	8365
2	24	8249
3	32	8175
4	41	8313
5	49	8254
6	57	8192
7	65	8156
8	73	8088
9	82	8158
10	91	8225
11	99	8211
12	107	8172
13	115	8132
14	123	8104
15	131	8071
16	139	8071
17	147	8033
18	154	7997
19	163	8010
20	171	8001
21	179	7998
22	187	7962
23	188	7653
24	196	7658
25	205	7689
26	213	7698
27	221	7704
28	230	7704
29	237	7694
30	246	7718
31	255	7724
32	264	7737
33	272	7747
34	280	7746
35	289	7750
36	297	7749
37	306	7754
38	314	7758
39	323	7767
40	332	7779
41	342	7803
42	351	7826
43	360	7838
44	369	7847
45	378	7855
46	387	7860
47	396	7858
48	404	7859
49	414	7868
50	423	7877
51	432	7882
52	441	7886
53	451	7905
54	460	7920
55	470	7932
56	480	7949
57	490	7968
58	500	7977
59	509	7985
60	518	7988
61	528	7994
62	537	8001
63	547	8014
64	557	8025
65	567	8036
66	578	8054
67	589	8075
68	599	8083
69	608	8085
70	609	7974
71	619	7981
72	628	7987
73	629	7881
74	639	7888
75	648	7890
76	659	7901
77	668	7907
78	678	7908
79	680	7824
80	690	7831
81	700	7840
82	710	7850
83	720	7858
84	730	7865
85	740	7867
86	749	7867
87	759	7867
88	768	7871
89	778	7871
90	788	7873
91	798	7881
92	808	7883
93	818	7885
94	828	7891
95	838	7893
96	848	7895
97	858	7897
98	867	7893
99	876	7890
100	886	7888
101	896	7890
102	906	7895
103	916	7896
104	926	7898
105	937	7905
106	947	7906
107	957	7911
108	968	7917
109	978	7920
110	989	7926
111	1000	7928
112	1010	7931
113	1020	7931
114	1030	7932
115	1041	7934
116	1051	7934
117	1061	7936
118	1072	7939
119	1082	7941
120	1093	7943
121	1103	7941
122	1114	7943
123	1125	7952
124	1136	7958
125	1147	7960
126	1158	7962
127	1168	7963
128	1179	7963
129	1190	7964
130	1200	7960
131	1209	7953
132	1219	7948
133	1229	7943
134	1239	7940
135	1250	7944
136	1261	7944
137	1271	7941
138	1281	7937
139	1291	7933
140	1301	7930
141	1312	7929
142	1323	7931
143	1334	7930
144	1344	7927
145	1354	7920
146	1364	7914
147	1374	7910
148	1383	7903
149	1393	7896
150	1403	7889
151	1413	7884
152	1423	7879
153	1433	7876
154	1444	7872
155	1453	7866
156	1464	7861
157	1473	7854
158	1483	7848
159	1493	7840
160	1503	7833
161	1513	7829
162	1523	7824
163	1534	7821
164	1544	7815
165	1554	7808
166	1564	7805
167	1575	7800
168	1584	7792
169	1594	7784
170	1604	7777
171	1614	7772
172	1624	7766
173	1634	7759
174	1645	7755
175	1655	7749
176	1665	7745
177	1675	7737
178	1685	7730
179	1695	7721
180	1704	7713
181	1714	7705
182	1724	7698
183	1734	7691
184	1743	7682
185	1753	7674
186	1763	7666
187	1773	7658
188	1783	7652
189	1793	7646
190	1803	7639
191	1815	7638
192	1825	7631
193	1834	7623
194	1844	7614
195	1854	7607
196	1864	7599
197	1874	7591
198	1884	7584
199	1894	7576
200	1903	7566
201	1913	7559
202	1923	7552
203	1933	7545
204	1944	7540
205	1954	7534
206	1964	7527
207	1975	7521
208	1985	7514
209	1996	7510
210	2006	7504
211	2017	7499
212	2028	7494
213	2039	7489
214	2049	7484
215	2060	7479
216	2071	7475
217	2082	7470
218	2092	7463
219	2103	7458
220	2114	7452
221	2124	7443
222	2133	7434
223	2143	7426
224	2153	7416
225	2163	7409
226	2174	7404
227	2185	7399
228	2195	7392
229	2207	7389
230	2218	7384
231	2229	7379
232	2240	7375
233	2251	7368
234	2261	7362
235	2271	7354
236	2282	7348
237	2292	7340
